"seed","method","status","assignment_mode","uses_alignment","uses_position","fit_runtime_sec","match_runtime_sec","matcher_retained_mb","hits1","matched_hits1","mrr","coverage","candidate_edges","candidate_cap","dense_pairwise_allocated","correspondence_read_during_fit_or_match","error"
7212,"spectral_mnn_embedding","ok","independent ranked retrieval",TRUE,FALSE,0.0339999999999989,NA,NA,0,0,0.00420217935562191,1,30000,100,FALSE,FALSE,NA
7212,"token_ot_embedding","ok","independent ranked retrieval",TRUE,FALSE,0.0470000000000006,NA,NA,0.01,0.01,0.0317848676933088,1,30000,100,FALSE,FALSE,NA
7212,"position_knn_diagnostic","ok","independent ranked retrieval",FALSE,TRUE,0,0.00199999999999534,NA,0.186666666666667,0.186666666666667,0.359437746193682,1,30000,100,FALSE,FALSE,NA
7213,"rapid_prototype_one_to_one","ok","one_to_one",TRUE,FALSE,0.338000000000001,0.229999999999997,0.01861572265625,0.03,0.0447761194029851,0.03,0.67,9600,32,FALSE,FALSE,NA
7213,"rapid_multiview_one_to_one","ok","one_to_one",TRUE,TRUE,0.338000000000001,0.235000000000007,0.0190582275390625,0.143333333333333,0.169291338582677,0.143333333333333,0.846666666666667,9600,32,FALSE,FALSE,NA
7213,"rapid_multiview_independent","ok","independent",TRUE,TRUE,0.338000000000001,0.238999999999997,0.0198745727539062,0.153333333333333,0.153333333333333,0.153333333333333,1,9600,32,FALSE,FALSE,NA
7213,"rapid_ma_semisup_embedding","ok","independent ranked retrieval",TRUE,FALSE,0.338000000000001,NA,NA,0.01,0.01,0.051752212847193,1,30000,100,FALSE,FALSE,NA
7213,"lema_embedding","ok","independent ranked retrieval",TRUE,FALSE,0.431000000000004,NA,NA,0,0,0.00213382682132682,0.04,30000,100,FALSE,TRUE,NA
7213,"ssma_embedding","ok","independent ranked retrieval",TRUE,FALSE,0.0230000000000032,NA,NA,0,0,0.0119467177153703,1,30000,100,FALSE,FALSE,NA
7213,"spectral_mnn_embedding","ok","independent ranked retrieval",TRUE,FALSE,0.0339999999999989,NA,NA,0,0,0.0138521993523497,1,30000,100,FALSE,FALSE,NA
7213,"token_ot_embedding","ok","independent ranked retrieval",TRUE,FALSE,0.0480000000000018,NA,NA,0,0,0.00565395997529571,1,30000,100,FALSE,FALSE,NA
7213,"position_knn_diagnostic","ok","independent ranked retrieval",FALSE,TRUE,0,0.00200000000000244,NA,0.17,0.17,0.346595144600708,1,30000,100,FALSE,FALSE,NA
7214,"rapid_prototype_one_to_one","ok","one_to_one",TRUE,FALSE,0.359000000000002,0.280999999999999,0.0185394287109375,0.0466666666666667,0.0773480662983425,0.0466666666666667,0.603333333333333,9600,32,FALSE,FALSE,NA
